series,variable,unit,lag,N,effect_per_sd_signed_news_change,se_HAC,p,ci_lo,ci_hi,R2,risk_change_sd_index_points,q_BH
DGS2,US 2-year yield,bp,0,177,-0.4755788065420127,0.31150504257765615,0.1268323865864686,-1.0861174709968349,0.1349598579128095,0.08091927734266424,40.13762715056077,0.4652397396522315
DGS10,US 10-year yield,bp,0,177,-0.33299957154804904,0.313399090514641,0.2879898824064311,-0.9472505017443539,0.2812513586482558,0.0808696823064109,40.13762715056077,0.5183817883315759
T10YIE,US 10-year breakeven,bp,0,177,-0.15106691702586364,0.18284818774476866,0.4086976451361366,-0.5094427796440283,0.20730894559230104,0.07150811930691836,40.13762715056077,0.5930323367846466
SP500,S&P 500,%,0,177,-0.014375424393344657,0.05188200032119112,0.7817192742879994,-0.11606227646877477,0.08731142768208545,0.10703791169124466,40.13762715056077,0.7817192742879994
BAMLC0A4CBBB,US BBB OAS,bp,0,177,0.02163291660708154,0.0751043096230037,0.7733174320694737,-0.1255688253377507,0.16883465855191382,0.11940542380933428,40.13762715056077,0.7817192742879994
BAMLH0A0HYM2,US high-yield OAS,bp,0,177,0.4811169210822125,0.27564491366052757,0.08091129718896403,-0.05913718221407427,1.0213710243784992,0.06275314863048531,40.13762715056077,0.4652397396522315
DCOILBRENTEU,Brent spot (oil proxy),USD/bbl,0,166,0.41533787046184456,0.29211804594119484,0.1550799132174105,-0.1572029788171142,0.9878787197408033,0.15167288257168,40.13762715056077,0.4652397396522315
GLD,Gold ETF GLD (gold proxy),%,0,177,0.12533034686629915,0.11340573468340404,0.2690946012730858,-0.09694080875347763,0.3476015024860759,0.055665013818814946,40.13762715056077,0.5183817883315759
DTWEXBGS,Broad US dollar,%,0,173,0.014816523667825942,0.020109440481215823,0.4612473730547252,-0.024597255424608885,0.054230302760260765,0.07594787375897649,40.13762715056077,0.5930323367846466
DGS2,US 2-year yield,bp,1,176,-0.104718071322115,0.2764175450688209,0.704806551336207,-0.6464865043519811,0.43705036170775113,0.07434159523205053,40.13762715056077,0.9143858188600823
DGS10,US 10-year yield,bp,1,176,0.09969321458854408,0.2692521074105384,0.7111889702245084,-0.4280312186976214,0.6274176478747095,0.07634101297693763,40.13762715056077,0.9143858188600823
T10YIE,US 10-year breakeven,bp,1,176,0.02308422424657037,0.17123709997200035,0.8927632498159997,-0.312534324515635,0.35870277300877573,0.06474510119203003,40.13762715056077,0.9316331762775145
SP500,S&P 500,%,1,176,-0.04701962000143013,0.06145891457188862,0.444237146304426,-0.16747687909125575,0.07343763908839548,0.1045373269242551,40.13762715056077,0.9143858188600823
BAMLC0A4CBBB,US BBB OAS,bp,1,176,0.10623604271010964,0.07653490933843161,0.1651148113089992,-0.04376962315325458,0.25624170857347384,0.1262054588516136,40.13762715056077,0.7430166508904964
BAMLH0A0HYM2,US high-yield OAS,bp,1,176,0.20765654093449998,0.31778579957312725,0.5134674097460645,-0.4151921810270935,0.8305052628960934,0.05910675425931977,40.13762715056077,0.9143858188600823
DCOILBRENTEU,Brent spot (oil proxy),USD/bbl,1,165,-0.45139594346369505,0.2853613613066235,0.11368615882772998,-1.010693934203999,0.10790204727660868,0.1507250150927152,40.13762715056077,0.7430166508904964
GLD,Gold ETF GLD (gold proxy),%,1,176,-0.07827570759926042,0.12249218769016247,0.5228059390167317,-0.3183559838594994,0.1618045686609786,0.05072795687388776,40.13762715056077,0.9143858188600823
DTWEXBGS,Broad US dollar,%,1,172,-0.001662753387828491,0.019381617970612077,0.9316331762775145,-0.039650026572342456,0.03632451979668547,0.07435806877336504,40.13762715056077,0.9316331762775145
DGS2,US 2-year yield,bp,-1,176,0.3126635743712437,0.26189636530179333,0.2325387424691958,-0.20064386930221667,0.8259710180447041,0.08292060169006776,40.13762715056077,0.6976162274075874
DGS10,US 10-year yield,bp,-1,176,-0.3019241209170995,0.3426938881229518,0.3783007540374236,-0.9735917993600837,0.3697435575258846,0.08834998988986265,40.13762715056077,0.7582157456856979
T10YIE,US 10-year breakeven,bp,-1,176,-0.07984760085940974,0.18979415961441243,0.6739695517206203,-0.4518373181797045,0.29214211646088506,0.06871736038200471,40.13762715056077,0.7582157456856979
SP500,S&P 500,%,-1,176,0.03416582300218409,0.06746456003216218,0.612557462584012,-0.09806228489369417,0.16639393089806237,0.10825567543120207,40.13762715056077,0.7582157456856979
BAMLC0A4CBBB,US BBB OAS,bp,-1,176,-0.04156477090785496,0.0704697997552654,0.5553087292986222,-0.17968304042592467,0.09655349861021476,0.12416233632660645,40.13762715056077,0.7582157456856979
BAMLH0A0HYM2,US high-yield OAS,bp,-1,176,-0.407374741856602,0.26338878350260597,0.12194356243273144,-0.9236072714535273,0.10885778774032323,0.06045975371973222,40.13762715056077,0.5487460309472915
DCOILBRENTEU,Brent spot (oil proxy),USD/bbl,-1,166,-0.1503918568729549,0.22714174996537997,0.5079034562262836,-0.5955815061905018,0.2947977924445919,0.1416384621095641,40.13762715056077,0.7582157456856979
GLD,Gold ETF GLD (gold proxy),%,-1,176,-0.2453576475653958,0.1327383363466015,0.06454002655170475,-0.5055200061724987,0.014804711041707164,0.06602627246814496,40.13762715056077,0.5487460309472915
DTWEXBGS,Broad US dollar,%,-1,173,-0.0030048736499899997,0.014498247069698681,0.8358085907527146,-0.03142091574556279,0.02541116844558279,0.07265987862502132,40.13762715056077,0.8358085907527146
